Temporal_Velocity_Alpha,Manifold_Proximity_Scalar,Barycentric_Divergence_Index,Normalized_Deviation_Magnitude,Distribution_Curvature_Coefficient,Distribution_Asymmetry_Coefficient,Dispersion_Magnitude_Metric,Target
0.0344421991899648,3.882631203498376,0.0283045255836278,2.821012190367998,1.1835761635431856,1.0067191633835333,0.010052504790949,-0.0009635584362176351
0.0303031843831828,2.8730358314274373,0.0255174589348368,2.411235806398925,0.8851401864316744,0.976504563409526,0.0106594339074973,0.0012586128062810878
0.0426177963013953,2.7669338697601336,0.0286357210575603,2.533510866460484,0.716667576419495,0.9767570961532128,0.0113257096970554,-0.0023586174169349327
0.0432018083554611,3.039030069968076,0.029910911025101,2.496176551572243,0.5610478673146035,0.969842294822929,0.0119838773686494,-0.004344485756100006
0.0411577231740399,2.635767572622944,0.0292410230521101,2.3279062774107864,0.3250505461779657,0.9396376461204158,0.0125713255014033,-0.004229591098971556
0.0469377039978296,3.0143936758591634,0.0277382237596374,2.125599022345805,-0.058184571921215,0.9254812522814964,0.0129329273531041,-0.002925711243611023
0.0342732696494627,1.988824766367265,0.0246347120688947,1.856970560027688,-0.3953895102567401,0.8779381994452077,0.0132157621972427,-7.717816358812898e-05
0.0282100095546133,3.505186242797319,0.0211488045400727,1.5745178600295542,-0.598209289545782,0.8086770086404743,0.0134831685332178,0.0032152675251601185
0.0137088636548312,4.644477286389866,0.0137615514649548,1.0190831170544123,-0.7179499964641705,0.7533950976429911,0.0136160411957397,0.01081740322762924
0.0205906644301463,1.7757803257640064,0.0125705747192349,0.9240291498106572,-0.8121168783440829,0.6981303862814564,0.0137232058063725,0.01244416689953538
0.029383807611083,2.323753979735156,0.0206950318111925,1.488325194843485,-0.93040174978317,0.6369716794237809,0.0140213531819141,0.004321235352490955
0.0328342506126911,2.421107252361388,0.0254136703421366,1.772962901327761,-1.0198600085879812,0.5831768560256756,0.0144340001609681,-0.0007387112877702308
0.0343676522361648,2.2780724977102023,0.0191899011548122,1.319456655471775,-1.0877809988469342,0.5108163968431917,0.0145294145642753,0.005181097704253552
0.0476110543890686,3.082237673951237,0.0173368332951682,1.1869021932992272,-1.1551779638589694,0.479094478874394,0.0144059492134971,0.006763953643154183
0.040738260771683,1.7154672154497517,0.0179117929178387,1.23674506741976,-1.2456008445683708,0.4705362741956548,0.0141604049996246,0.005975337242879019
0.0275847500863532,1.4270740524345116,0.0142779364999829,1.0082542787130038,-1.3003827873627505,0.4229951876577855,0.0140177876751536,0.00950030543129381
0.0165812290126003,4.804556817266819,0.0102388067919459,0.7325075902291333,-1.3154445478786505,0.3537442457846484,0.0139719299659335,0.013809920990966139
